,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Afghanistan,AFG,"Population, total",SP.POP.TOTL,0.17161844189528377,0.17354325356265368,0.17543855497543695,0.17763513642488712,0.18013830178994256,0.18279327229277165,0.18570155855866208,0.18871254869097695,0.19199147767622238,0.19570383000916344,0.19980439399329475,0.20418853094889516,0.20891796441421176,0.20989918545495992,0.20844654934915582,0.20674880345561109,0.2049558625498511,0.20299877962245857,0.2003666136710081,0.19643950715207026,0.19091905004835888,0.18379143431991865,0.17552118322057597,0.16689086075568332,0.15888474197797092,0.15222354577291547,0.14688089462083437,0.14279493984793842,0.14050697480178048,0.14062385588232537,0.14341268790772874,0.1491412504211488,0.1573097015362703,0.16652750870759694,0.17504371374138716,0.18174154124167452,0.1861827327931643,0.18887491508131046,0.19081350825784074,0.19338012133742416,0.19746618858572695,0.20335191143092893,0.21055233247956776,0.21826123518690393,0.22534869126280993,0.23105534249669155,0.23512751236218188,0.23792953474362,0.24006719749122984,0.24238553534692842,0.24544717470579983,0.24939999979845476,0.2539908944714774,0.25889271712787126,0.26364165171867815,0.2679179133439108,0.27166249588741653,0.2750159958704189
1,Albania,ALB,"Population, total",SP.POP.TOTL,0.030623130465176725,0.03135391323817518,0.032054448086572075,0.03277013192421695,0.033510113074386616,0.03422598764824506,0.03494715315421227,0.03568649688296384,0.03653753770001775,0.037455358565818615,0.03827008972686667,0.039045047664704825,0.039895821544064604,0.039997383136476106,0.03967437523182777,0.039406823909292836,0.039158485332624005,0.038961809634097185,0.03875716990250233,0.03855944598734831,0.03841930825494122,0.038296530305311424,0.0382473729253615,0.038228277748089214,0.03822521597516781,0.03822226431521946,0.03819135275610608,0.038202002328159124,0.03817940589189685,0.03846381428830073,0.03840166790255491,0.037418389480591174,0.03645529303962102,0.03552362209804768,0.03463664164366028,0.03380133356729959,0.033014596136407094,0.032270222583653745,0.03156721111725633,0.03090432609494066,0.030278235567853716,0.029601526742978456,0.02914702803145072,0.02868341686240682,0.028200453987822616,0.027672866420993984,0.027093145858580164,0.026469746699400276,0.025845304672615043,0.025261412624098253,0.024746593004064583,0.02431255435423391,0.023921281019418726,0.023540252756270856,0.02317188604021303,0.02279713366262274,0.022465452377596663,0.0221619730116008
2,Algeria,DZA,"Population, total",SP.POP.TOTL,0.21224269439865134,0.21593499163859406,0.21946646166880712,0.22332748952080536,0.22763523726123178,0.23226657446747392,0.23745396621640563,0.24298347643468748,0.24886954061728087,0.2550512481436626,0.2613215757719493,0.26756739261194845,0.2740950838912104,0.2758376861590757,0.2748891944711187,0.2744188604929364,0.27442459809745984,0.2748469336829144,0.2757021763223002,0.27699889627291785,0.27872075108434147,0.28085065151382194,0.2833257956050195,0.2860332734796491,0.2888359116619992,0.2916224050268347,0.29436416535779975,0.29703077345733614,0.2995149299975813,0.30169725883982956,0.30349978501766006,0.3048992218333737,0.3059246727517848,0.3066199946337008,0.3070508577343175,0.30727551959721444,0.307302606332586,0.30715334418080215,0.3069098891178868,0.30666955399112944,0.30650046657538055,0.3064563359138849,0.30653229904713236,0.3066698534931412,0.3067812368811309,0.30682034564281063,0.30675087505206444,0.3066368153822502,0.3066449364463558,0.30698929063622454,0.3077993832966626,0.3091158327564101,0.31084407370065664,0.3128153117951702,0.31480707796072827,0.3166550958537097,0.31831858814967784,0.31983185033235695
3,American Samoa,ASM,"Population, total",SP.POP.TOTL,0.00030029169748422777,0.0003036809146044078,0.0003108435551487851,0.0003211089484298954,0.0003324366372065455,0.0003437228007643052,0.00035475358086086773,0.0003655537648078807,0.0003753903138177164,0.0003844221834779563,0.0003924337648990798,0.0003992619727867763,0.0004054185935387768,0.0004033021786663397,0.0003962281986689204,0.00038840991771644075,0.00037994332965814696,0.0003716402276400919,0.00036447229970390467,0.0003605336145640278,0.0003600256962230667,0.0003648819448916267,0.00037221666075990884,0.00038154061587874826,0.00039173791053758215,0.00040164165791905414,0.0004115765886965287,0.000421097104053,0.0004299960947991526,0.00043788340787284874,0.000445641512938115,0.0004516527611516233,0.00045580234390984895,0.0004588078698111585,0.0004614795304702167,0.00046405459659009095,0.0004669088869526762,0.00046944427087699294,0.00047155132238292565,0.00047287283353199147,0.00047292184004300923,0.00047219245137154227,0.00047051168903279096,0.0004671937849575264,0.00046146358883569934,0.0004526092919689137,0.0004412970741974003,0.00042835165924766356,0.00041427389900571985,0.00040072632230356975,0.0003888195505957961,0.00038010593890021457,0.0003720554021954406,0.0003630928017635563,0.0003584957082438604,0.0003537974133894622,0.00034895503172344843,0.00034416014533687273
4,Andorra,AND,"Population, total",SP.POP.TOTL,0.000174289041656665,0.00018793251635407812,0.0002029094175474276,0.00021914296979808718,0.00023559478896403705,0.0002522486296309811,0.0002692174324500503,0.00028622879806821316,0.00030302569773482815,0.0003202766584229325,0.0003382454929946926,0.00035709031830062654,0.00037688808027074174,0.0003896486740247068,0.00039676981773587483,0.0004011099247548406,0.0004031957145088158,0.0004040000182781527,0.0004043769205423885,0.0004069868989183179,0.0004120779515542883,0.00042133080606226677,0.00043249644712922756,0.0004449869410020885,0.0004579623769014129,0.00047092187051040894,0.0004835429420950105,0.0004956984761865339,0.0005078150072292272,0.0005197938690682966,0.0005331763556661458,0.0005469406739361681,0.0005604531389558435,0.0005719644349500814,0.0005792400358167808,0.0005808392242025475,0.0005759305913334738,0.0005659361228052396,0.0005549519972999272,0.0005486521384311614,0.0005502886714872294,0.0005611330429764898,0.0005789777819216847,0.0006003463804069208,0.0006201764050890957,0.0006346911584432995,0.0006442452191704159,0.0006499452400947668,0.0006503545010111669,0.0006451951808282941,0.0006344274803459951,0.000618861477615545,0.0005971956436832424,0.0005710582684452948,0.0005499929104331856,0.0005323564321777444,0.0005189708287174669,0.0005092678179316099
5,Angola,AGO,"Population, total",SP.POP.TOTL,0.10762144107149513,0.10888363368978828,0.11008446282924465,0.11139384249264948,0.11276126649061662,0.11406131721076684,0.11538109044278298,0.11667508546409663,0.11807713575379179,0.11972861464227677,0.12165286806161942,0.12384310197871837,0.12640939621070918,0.12696790302002953,0.1264047504054315,0.1261159658836737,0.1260749896118853,0.12627172656082603,0.12674240649518198,0.12753246283275674,0.12865143146658037,0.13012561329673142,0.13188874257908442,0.13376307716105637,0.13552809326854298,0.13704617614724815,0.1382651537447109,0.139260623750955,0.14017898276755195,0.14121686133355918,0.14250262314541923,0.1440849838619881,0.14590579350066435,0.1478572273890725,0.14979551051772744,0.15164097874535729,0.15335811724543805,0.15502541716277315,0.15681282109538147,0.15894131883949097,0.16155209052522956,0.16470169348863656,0.16831520656767462,0.17223784762696703,0.17624620803255286,0.18017811569212025,0.18397441470771503,0.1876810441017369,0.1913692623883276,0.19515603940292522,0.19912472808119713,0.20329623893054719,0.20763350813837153,0.2120994832489493,0.21664445762849466,0.22122907136885694,0.2258489627711198,0.2305266789190951
6,Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,0.0009745070594600652,0.0009790787848073627,0.0009874649533328998,0.0009998631008871898,0.001014459567667172,0.00102938345065342,0.0010453747123814984,0.0010616767634292318,0.001077662195052655,0.0010932699204189618,0.001107625525981983,0.001119812193179743,0.0011308782196617355,0.0011200587931782483,0.001096778610582915,0.0010731423799924908,0.0010501102787470662,0.0010273223255542283,0.001003885165374668,0.0009787537152472752,0.0009509846116663119,0.0009223690382546762,0.0008916752402816201,0.0008597671230066404,0.0008277398426344087,0.0007964703522188426,0.0007659855389187705,0.0007365845054403594,0.0007103610539236937,0.0006892188769881002,0.000675966762348854,0.0006691058427375686,0.000667851087739463,0.0006709474531532538,0.0006771608091608706,0.0006847245845327321,0.0006937003703539728,0.0007038168726519947,0.0007139304225239507,0.0007227550914370044,0.0007291693591598873,0.0007330369837219893,0.0007343934585764991,0.0007339344553721823,0.0007324624511227853,0.0007304480203200008,0.0007288183013824375,0.0007277265543081692,0.0007261737603559896,0.0007241507863139312,0.0007214796870171401,0.0007193653743249494,0.0007159362011768641,0.0007100991102643008,0.0007082079536276958,0.0007064032152285287,0.0007046692930847921,0.000703201970786627
7,Argentina,ARG,"Population, total",SP.POP.TOTL,0.3934442661834923,0.39678770635712896,0.399717203920246,0.4029647754705422,0.40650205688455715,0.409960129516827,0.4136591822597809,0.41732377184137326,0.4212565652775299,0.4257250469172384,0.4306244228122564,0.4358662889813608,0.4418162710194768,0.44011553658482766,0.43394567036064974,0.4281641270705201,0.4227370123493,0.41765869423177876,0.41298944323634323,0.40880766087773074,0.4051482247088077,0.4019994589530916,0.3992884285291115,0.39691875422419487,0.3947719756217947,0.3927552004954356,0.3908595407847262,0.3890690640744166,0.3872884372183527,0.38541069415334006,0.38337631906109226,0.38116158653409965,0.3788149591663181,0.3764352882595334,0.37414924288951096,0.37204319789148765,0.3700992230246482,0.3682922305389988,0.3666784297275183,0.3653232843859514,0.36425071128276515,0.36350558322962756,0.3630205738749496,0.362580358514381,0.36190636674779936,0.3608211952106707,0.359265899105839,0.35734175481941893,0.35522904147404116,0.35316993855065065,0.3513276348065479,0.34973829349623564,0.348345861099471,0.3471051127054323,0.34594934065740496,0.3448266756513118,0.343735314652255,0.3426955851521528
8,Armenia,ARM,"Population, total",SP.POP.TOTL,0.03568690275299389,0.03668942003764067,0.03765505977470293,0.038641172661694555,0.03963774444464117,0.040602589368618255,0.04156198523214921,0.042485472910132514,0.043400275463745336,0.044332242288182715,0.045269755541900686,0.04619925324860403,0.04715965455896472,0.04726113490444782,0.04684444691934268,0.04643743608511981,0.04604242094185158,0.045658094782976937,0.045286459371727414,0.0449295723159104,0.04458705352556486,0.044241988646467466,0.043887004273142585,0.0435476057847844,0.04325560954751454,0.043020723794258635,0.04287449985284908,0.04277792998969942,0.04259383508511783,0.042150394441588364,0.041349838124982344,0.04015735415881144,0.03865944481981999,0.03702278376696605,0.03546103015837444,0.03411565882890668,0.03301649834618538,0.032114011877277256,0.03136636537106014,0.03070728993124165,0.03008711422633075,0.029509170584251,0.028983025535638064,0.028476942770209786,0.027954374346273545,0.02739417025107208,0.026783859099173857,0.02613922529739504,0.02550132438657274,0.02492429928934847,0.02444218306475528,0.024063864314364903,0.023768331990983996,0.023527332959804578,0.023309684161489094,0.02308508262173734,0.02284744294814198,0.02260325896096264
9,Aruba,ABW,"Population, total",SP.POP.TOTL,0.000952978583880924,0.0009657064449014991,0.000970205257412307,0.0009700562270604509,0.0009683073615435669,0.0009664317026254376,0.0009658777015349876,0.0009651143612828489,0.0009641068062607584,0.0009636800857746169,0.000963261214061641,0.0009632921959608895,0.0009644026747427515,0.0009485519183767652,0.0009215986936148106,0.0008932064458598206,0.0008632767276701606,0.0008328993567302599,0.0008036654340252967,0.0007786427147919738,0.0007585498749210259,0.0007462886000785269,0.0007387304349665959,0.0007325509733329447,0.0007236256905530495,0.0007091299685153172,0.0006878741711896084,0.0006618961708413909,0.0006375131946126846,0.0006223641679598683,0.0006226913066020522,0.0006382659143592534,0.0006656893929951025,0.0006992724698488421,0.0007311027879296066,0.0007560267998069555,0.0007728406584923487,0.0007830993318540657,0.0007890831238870929,0.0007942867668773525,0.0008006370803148036,0.0008091206820390734,0.0008180191103302089,0.0008259910382481091,0.0008304194778798873,0.0008298190445167161,0.000824483084279838,0.0008157111887696158,0.0008042631100931721,0.00079230941405633,0.0007812193917127322,0.0007725565242044085,0.0007639422818587968,0.0007538697157277506,0.0007478180702833537,0.000741500147426181,0.0007349289997815875,0.0007283815877101912
