,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,0.005741476697053184,0.005867371745284172,0.0058699113472731905,0.008083817868167208,0.008597417236738455,0.010844757204596258,0.015130704533725739,0.01810099687361873,0.014838083131399138,0.015212925511084205,0.01894258662450114,0.01982996948342241,0.0172183237166743,0.01868973254090362,0.023300996140599075,0.025606627952581694,0.027669562293501763,0.03148043789406867,0.03184100877682178,0.030223303932455134,0.025842582383019997,0.025486334422157014,0.05166137349012518,0.04220548311543219,0.04066777252231986,0.036625657993248684,0.03156099473136645,0.03657578551481781,0.03233844190435883,0.03071182340969822,0.025612509739364603,0.024453985389229976,0.023584637315970547,0.029262976521726304,0.026848573923086715,0.02282648194310556,0.022937991430269918,0.024985824127795462,0.023962566148020756,0.024394589639080002,0.02420390814997755,0.010206032926052905,0.015586214003769108,0.013789011357520024,0.013004899351912451,0.012471686344281994,0.012733310076381232,0.014537054182788757,0.013293429694591855,0.01932918862359652,0.02060577331317538,0.02149171243978252,0.02284778911640712,0.020772957798609805,0.019501646466062273,0.019456058178285034,0.021030814682853543,0.022698033344941165
1,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,0.06779445928925038,0.06779873483124739,0.06782387084256337,0.06780638925298435,0.06778732877193591,0.06777835537549592,0.06776944609643827,0.06775553840126819,0.06776811325364775,0.06775538750167313,0.06777121543852564,0.06776120440987299,0.06772396331240965,0.06769235623238337,0.06769235623238337,0.06769235623238337,0.06769235623238337,0.06656445376049547,0.060206591658826435,0.050961133375317505,0.04425131799616471,0.04569835329878519,0.04852651358749559,0.03964441538240011,0.0117235543138185,0.010786670962986723,0.010291688234085234,0.01183203080632429,0.01031118941113692,0.010765876696102284,0.008107059171709572,0.004178983718796818,0.002496265444574249,0.005393355951421076,0.008021587739331473,0.008335073643833478,0.011463588051273031,0.008875283946333147,0.009770836330912797,0.012557768331893596,0.013255520869777352,0.01687158263295964,0.016746674130003872,0.017302555322985833,0.0180186689741198,0.016228160110002596,0.016235880211632078,0.015805526024583974,0.016814041901599887,0.01864237228844451,0.015410795321904333,0.015438303613529608,0.013689491918882357,0.013082772348319905,0.012500493010878605,0.01151475237095896,0.0128215624300575,0.014202539626964637
2,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,0.02961166045111983,0.02646158156390432,0.02175616633902253,0.02939875762520165,0.03163217314886596,0.034100769446542244,0.03303853531769068,0.036638945266295575,0.04190769146272206,0.0463186104612803,0.05295555368453877,0.055279498115145854,0.07363895490279418,0.09494055879919727,0.14402802815736507,0.1696739165972875,0.1933778956020889,0.2249897465114979,0.25588182180038266,0.27314671627425385,0.3021650994412711,0.3268168975877551,0.35376352819338386,0.31200177084575753,0.3308147137216755,0.32146601421029924,0.3045558582856415,0.36983119275512893,0.2894786644183041,0.25882519808641374,0.24031519022077194,0.1690603537654424,0.171220528774112,0.2210424875818765,0.1727637681942616,0.14419657547786452,0.16289666765621552,0.18212299091875983,0.17470155026551776,0.17954482246993417,0.20067178356296736,0.22813912842506306,0.21501524216576856,0.2049154584752819,0.21074801587345798,0.2057788768127738,0.21178646892933578,0.1997139754106793,0.22369383889969438,0.21281603235580152,0.20881166075098986,0.2402209683522995,0.23297258881790256,0.21538080828633482,0.20258311774702714,0.1682256422583884,0.17209168153583443,0.18609264288046382
3,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,0.006208376295904239,0.006212934301234474,0.006239730921087342,0.006221094411719,0.006200774701545143,0.006191208478401452,0.0061817106085497,0.006166884102632867,0.006180289711608955,0.006166723233868382,0.006183596842077727,0.00617292443563389,0.006133223008104939,0.006099527808915356,0.006099527808915356,0.006099527808915356,0.006099527808915356,0.005997896356327016,0.005425011043231246,0.004591934266987317,0.003987335642035753,0.004117723067737348,0.004372558964863452,0.0035722233284806323,0.0034420732804846376,0.003099953376830249,0.0026712861298397923,0.0030957322278763887,0.0027370883603326647,0.002599413250270009,0.002214677286156678,0.002112674230619234,0.002036336561999096,0.0025270674641102776,0.002313904996359335,0.0019668278432729658,0.001972284104434226,0.0021470983731680113,0.002058979052997752,0.002092963468144556,0.0020764197961137217,0.0023648479981468345,0.0018890817036720145,0.0015366452450866059,0.0012117273474606914,0.0009596454228583337,0.0008563401959301391,0.0007392785710617732,0.0006969855285203181,0.00100975177999228,0.0007050105847207145,0.0006430004047445488,0.0006758060156941384,0.0006197878418369314,0.0005740044586453087,0.0006324170019030851,0.0006725412652615035,0.0005908450570139183
4,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,0.016260686233431056,0.016265198134043576,0.01629172370318359,0.016273275704126514,0.016253161530022434,0.01624369207026221,0.016234290272392975,0.016219613738189736,0.016232883747978717,0.01621945449663023,0.0007024487781489569,0.0008095575683299846,0.0010317295755933912,0.001406451931243883,0.0017967678886042626,0.002163383904860908,0.002241513275159794,0.00249132800852112,0.002777799118380182,0.0032027836252236565,0.0030298109179032195,0.002705258044682883,0.0027704086115509096,0.0019560888471126508,0.0018984344037647008,0.0018022551819629634,0.002200001147892379,0.003266363212819212,0.003427581954788474,0.003599705053838511,0.0039521285257926,0.004059739459819224,0.004282053770891675,0.0044149116925374845,0.004089063815873654,0.004032766878100208,0.004205643282522845,0.0044160711278001495,0.004348681565433685,0.0045274523504579165,0.00520463894960585,0.006184621503717987,0.006508510028531763,0.007189614967953957,0.007199542675537754,0.006449911642658003,0.006372096427740859,0.005914230856739157,0.005203499946519008,0.005636607926833527,0.004306258931799277,0.0040881831235623,0.003485252654467727,0.003331680738096303,0.003140008412958985,0.0028158865410409053,0.003074396885607,0.003248305881088277
5,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,0.42003044290874164,0.4200331029274715,0.42004874123974634,0.4200378651085471,0.42002600667361106,0.42002042389542354,0.4200148810077197,0.4200062283667991,0.42001405178260875,0.4200061344849592,0.42001598179987537,0.42000975346116676,0.41998658399707517,0.41996691972411904,0.41996691972411904,0.41996691972411904,0.41996691972411904,0.4129693537767637,0.37352484465519586,0.3161655377427029,0.04220872796877699,0.04078542169184181,0.04330953255494026,0.03687903347071057,0.037676109879656014,0.04183229205903222,0.0337430905802192,0.04471682072832678,0.0428975140517325,0.04740854115305696,0.04349273242470045,0.14228132716129138,0.1372296682418656,0.17026728337523536,0.013727993946031788,0.019167934955336797,0.022649633042023793,0.028978625045369775,0.023549307965772006,0.02266792101326214,0.03339575133396295,0.03719347134923664,0.04729589850837157,0.04280011220639451,0.04847086298896424,0.05626682331356175,0.07560053924863486,0.08942437370040272,0.11009702271028544,0.11707072009110024,0.10687593245676193,0.12501979013199394,0.12693536467937933,0.12824718031358848,0.1200613547630517,0.10406214396256032,0.10313933386605105,0.13565967659634137
6,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,0.007700949285692895,0.007705500445367077,0.007732256819448039,0.007713648300203425,0.0076933591081480976,0.007683807252489439,0.007674323647463093,0.007659519409435962,0.0076729048845636735,0.007659358782279845,0.007676207048062013,0.007665550670476957,0.00762590887041615,0.007592264277956386,0.007592264277956386,0.007592264277956386,0.007592264277956386,0.000595565603820299,0.0006395335869803932,0.0007156372931501294,0.0007809872827861332,0.000927520745355377,0.0011143205681789872,0.0010240508671886643,0.0011483923612924404,0.0012149266644961732,0.0012837619168942444,0.0017467926099096662,0.0018456452585777147,0.0019397140376009165,0.001745700378672181,0.0017471264495994112,0.0017464634314894535,0.0023262815681521897,0.0023500416152413633,0.001955594820125927,0.0021569382072977035,0.0025255369862061364,0.0025932459131363826,0.002778495642332256,0.002990913783842476,0.0032827435385275653,0.003028161151195356,0.002529252797783848,0.002218674444080449,0.001995140098198814,0.0020528080789029117,0.0019104242728784288,0.0017507934326757408,0.0018571643642989802,0.0014518580007575957,0.0013253465693345821,0.0013082361113418018,0.0011866177138755666,0.0011777879999565468,0.0013484393125380008,0.0015406642741111545,0.001630789905552283
7,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,0.06053063599792021,0.06053494485529693,0.06056027672850869,0.06054265892092621,0.060523449919020374,0.06051440660112722,0.06050542790022437,0.06049141183513403,0.060504084671811696,0.06049125975971676,0.060507211029172794,0.06049712199375027,0.060459590710550695,0.060427737345521745,0.060427737345521745,0.060427737345521745,0.060427737345521745,0.05942087928774299,0.05374533122675068,0.045492078483162654,0.03950234812163596,0.04079409026304212,0.04331873760299497,0.03538984980402253,0.03410045935246764,0.030711093433275473,0.026464307022710114,0.03066927470758536,0.027116206649294462,0.025752265759030474,0.008708324425159918,0.0076215307289971565,0.004506175155908227,0.005274912276823131,0.005297954115694537,0.005032843362268385,0.005500452249932561,0.0061512539545328674,0.006821136171243169,0.006763527982564037,0.006952602358446752,0.00877546967357881,0.008945766253033732,0.0084231604383774,0.008783067970002252,0.009730125110733555,0.011514865456807397,0.013593597198823013,0.015218721462427158,0.013373665015018237,0.011955979730532949,0.012136434744802077,0.011794174867207081,0.011383273251486291,0.010966491670009338,0.01066916088999908,0.011373999004000096,0.012560719631582373
8,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,0.022106266074102942,0.022110751164080882,0.022137119112873655,0.02211878073559329,0.0220987860840182,0.022089372893721138,0.022080026963254295,0.022065437640013626,0.02207862879669526,0.022065279344699977,0.022081883022315146,0.022071381344560572,0.022032315028964383,0.021999158858832794,0.021999158858832794,0.021999158858832794,0.021999158858832794,0.021632604833572534,0.019566380134627005,0.0165617232306275,0.014381118171871893,0.014851386327221733,0.01577050261940685,0.012883933141121027,0.012414521135627155,0.011180597732858077,0.009634524141663398,0.011165373320524542,0.009871852959110932,0.009375300322241448,0.007854217600656346,0.007497562989427839,0.007230087352975651,0.008971178784112065,0.005358920538874466,0.004522935460432172,0.00474693955942445,0.00574421007875548,0.005993000573238747,0.006310545059918923,0.006812983490330165,0.007949284029526877,0.00729657218102224,0.006049915353103836,0.005451912293526537,0.004605488611894751,0.004341589597769509,0.0038524524562857554,0.0036133079695308094,0.0038345994352734568,0.003155817125936478,0.0030580154033712412,0.0022277078135806874,0.002052823753771962,0.0018944264296747977,0.002029595916424345,0.002164269298284597,0.0021813810479886803
9,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,0.07186247624477794,0.07971894270710489,0.08459611831489658,0.09132826959178213,0.10000015978162649,0.10899085819646283,0.11874103821981674,0.12628226015532482,0.13569873317937384,0.14816023766913272,0.1677246399174588,0.1948586545757579,0.24070717452111579,0.3221099138060123,0.3840761791864046,0.43726244481954163,0.4689429458720917,0.553335825990482,0.602540950244618,0.6077323879019991,0.5856990512111026,0.5235674755119328,0.5578571020987888,0.4611586218009179,0.41886804795035293,0.38501399844620665,0.4735874610199971,0.6881453201759135,0.6533684291041322,0.6194168885444024,0.6448091806966038,0.6428066480421853,0.6959207660663328,0.8426622789152607,0.826716248776332,0.832402055035798,0.8234832683713814,0.8045587366203169,0.7914503970602222,0.8018635006373883,0.720918686583176,0.8225147571975802,0.8084638646788682,0.7903500832335303,0.7433511644228515,0.630147724108976,0.6081403464060386,0.5751701023335006,0.5629477636691469,0.6207527927624149,0.5076773949720044,0.5178250828831472,0.45629833429329886,0.44164397757262325,0.418720245525876,0.38752882211421386,0.42290463688306307,0.45510188186555917
